Unnamed: 0,n_code,active,last_update,update_count,input_date,lat,lng,x_900913,y_900913,points,extension,date_photo,device_platform,device_model,device_uuid,viewing_angle,rain,bottom,fu_value,fu_processed,fu_observed,sd_depth,application,apk_user_n_code,user_n_code,nickname,user_points,user_photo_count,user_level,p_cloud_cover,p_temperature,p_ph,p_conductivity,p_colour,image,geom,flagged_count,wacodi_processed,image.1,nickname.1,month_year,month,day,image_path,total_pixels,color_pixels,Flag,fu_processed_wacodi_processed,month_year_period,fu_processed_clouds,fu_processed_old,hue_angle,hue_angle_centre,hue_angle_centre_clouds,hue_angle_centre_old,hue_angle_clouds,hue_angle_old,macrophytes,overcast_hue_best,overcast_hue_best_fu,overcast_hue_center,overcast_hue_center_fu,p_chla,p_dissolved_oxygen,p_phycocyanin,p_salinity,sunny_hue_best,sunny_hue_best_fu,sunny_hue_center,sunny_hue_center_fu
2.0,24203,1,5/8/2023 10:20:22 AM,1,5/8/2023 10:20:20 AM,48.7732402,9.1659268,1020346,6236472,10,png,2023-05-08 08:24:58,Android,SM-G991B,4c6e7ed3819a0f3b,0,,,14,13.0,0,0.46,australia,1155.0,1155.0,schloss4,90.0,4.0,1.0,100.0,0.0,6.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/24203.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/24203.png,schloss4,2023-05,5,2023-05-08,./Bilder10/24203.png,104794.0,3005.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,
3.0,24202,1,5/8/2023 10:18:34 AM,1,5/8/2023 10:18:32 AM,48.7723972,9.1645098,1020188,6236329,10,png,2023-05-08 08:23:09,Android,SM-G991B,4c6e7ed3819a0f3b,1,,,13,13.0,0,0.46,australia,1155.0,1155.0,schloss4,90.0,4.0,1.0,100.0,0.0,6.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/24202.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/24202.png,schloss4,2023-05,5,2023-05-08,./Bilder10/24202.png,121632.0,3678.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,
7.0,24198,1,5/8/2023 10:09:11 AM,1,5/8/2023 10:09:09 AM,48.7732159,9.1660441,1020359,6236468,10,png,2023-05-08 08:13:46,Android,motorola edge 20,06a6b2f4ac59ebe0,7,,,16,15.0,0,1.22,australia,1015.0,1015.0,Schloss1,80.0,3.0,1.0,100.0,0.0,7.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/24198.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/24198.png,Schloss1,2023-05,5,2023-05-08,./Bilder10/24198.png,74018.0,907.0,False,,,,,,,,,,,,,,,,,,,,,,,
9.0,24196,1,5/8/2023 10:01:56 AM,1,5/8/2023 10:01:55 AM,48.7732114,9.1658795,1020341,6236467,10,png,2023-05-08 08:06:33,Android,motorola edge 20,174e52765fc8ab1d,2,1.0,,17,17.0,0,0.0,australia,1016.0,1016.0,Schloss2,70.0,2.0,1.0,100.0,0.0,0.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/24196.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/24196.png,Schloss2,2023-05,5,2023-05-08,./Bilder10/24196.png,91098.0,722.0,False,,,,,,,,,,,,,,,,,,,,,,,
11.0,23816,1,3/15/2023 10:42:50 AM,1,3/15/2023 10:33:51 AM,48.773024705503,9.1652761719834,1020273,6236435,10,png,2023-03-15 08:55:53,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,8,,,15,14.0,0,0.63,australia,695.0,695.0,Netti,370.0,35.0,3.0,50.0,0.0,6.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/23816.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/23816.png,Netti,2023-03,3,2023-03-15,./Bilder10/23816.png,159120.0,11417.0,True,14.0,,,,,,,,,,,,,,,,,,,,,,
12.0,23815,1,3/15/2023 10:33:33 AM,1,3/15/2023 10:33:28 AM,48.773097125953,9.1653707370485,1020284,6236448,10,png,2023-03-15 08:56:41,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,0,,,16,15.0,0,0.63,australia,695.0,695.0,Netti,370.0,35.0,3.0,50.0,0.0,6.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/23815.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/23815.png,Netti,2023-03,3,2023-03-15,./Bilder10/23815.png,20355.0,722.0,True,15.0,,,,,,,,,,,,,,,,,,,,,,
16.0,23802,1,3/15/2023 10:31:54 AM,1,3/15/2023 9:53:08 AM,48.772956372169,9.1650901640562,1020253,6236424,10,png,2023-03-15 08:55:22,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,1,,,15,14.0,0,0.63,australia,695.0,695.0,Netti,370.0,35.0,3.0,50.0,0.0,6.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/23802.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/23802.png,Netti,2023-03,3,2023-03-15,./Bilder10/23802.png,9858.0,639.0,True,15.0,,,,,,,,,,,,,,,,,,,,,,
22.0,22448,1,12/20/2022 10:48:33 AM,1,12/2/2022 11:31:31 AM,48.7724588,9.1649785,1020240,6236340,10,png,2022-12-02 10:34:57,Android,motorola edge 20,174e52765fc8ab1d,-3,1.0,1.0,16,17.0,0,0.54,australia,1016.0,1016.0,Schloss2,70.0,2.0,1.0,100.0,0.0,6.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/22448.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/22448.png,Schloss2,2022-12,12,2022-12-02,./Bilder10/22448.png,65330.0,264.0,False,,,,,,,,,,,,,,,,,,,,,,,
36.0,21475,1,9/2/2022 4:53:30 PM,1,9/2/2022 4:53:20 PM,48.772898601685,9.1654913224432,1020297,6236414,10,png,2022-09-02 14:56:01,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,-2,,,14,13.0,0,0.0,australia,695.0,695.0,Netti,370.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/21475.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/21475.png,Netti,2022-09,9,2022-09-02,./Bilder10/21475.png,159120.0,9974.0,True,13.0,,,,,,,,,,,,,,,,,,,,,,
38.0,21250,1,8/2/2022 9:27:11 AM,1,8/2/2022 9:27:02 AM,48.772829760887,9.1654042506654,1020288,6236402,10,png,2022-08-02 06:47:24,iOS,"iPhone13,3",D43B3807-2E62-4812-BC5D-5211BD9B7AAE,2,,,14,13.0,0,0.0,australia,695.0,695.0,Netti,370.0,35.0,3.0,0.0,24.0,0.0,0.0,0.0,http://eyeonwater.nl/media/eyeonwater_upload/21250.png,?,0,1,http://www.eyeonwater.org/media/eyeonwater_upload/21250.png,Netti,2022-08,8,2022-08-02,./Bilder10/21250.png,159744.0,11993.0,True,14.0,,,,,,,,,,,,,,,,,,,,,,
