Unnamed: 0,lat,lng,device_model,device_platform,bottom,date_photo,image,viewing_angle,rain,fu_observed,fu_processed,fu_processed_clouds,fu_processed_old,fu_value,hue_angle,hue_angle_centre,hue_angle_centre_clouds,hue_angle_centre_old,hue_angle_clouds,hue_angle_old,macrophytes,overcast_hue_best,overcast_hue_best_fu,overcast_hue_center,overcast_hue_center_fu,p_chla,p_cloud_cover,p_colour,p_conductivity,p_dissolved_oxygen,p_ph,p_phycocyanin,p_salinity,p_temperature,sd_depth,sunny_hue_best,sunny_hue_best_fu,sunny_hue_center,sunny_hue_center_fu,user_n_code,nickname,user_points,user_photo_count,user_level,month_year,month,day,month_year_period,image_path,total_pixels,color_pixels,Flag,fu_processed_wacodi_processed
0.0,48.831573,9.2124704,EML-L29,android,0,2024-08-20 15:50:13,http://eyeonwater.org/media/eyeonwater_upload/28581.png,,0,0,5.0,,,5,,185.4077341561974,,,,,0.0,,0.0,188.8695482531853,5.0,,50.0,,,,6.0,,,,66.0,,0.0,185.4077341561974,5.0,,,,,,2024-08,8,2024-08-20,2024-08,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\28581.png,643260.0,59765.0,False,
11.0,48.7728909388608,9.16532777860989,"iPhone12,1",iOS,0,2024-04-25 09:17:01,http://eyeonwater.org/media/eyeonwater_upload/25987.png,3.0,0,0,12.0,,,11,67.1154561996154,69.3204207794995,,,,,0.0,61.6770535786644,13.0,63.3544972606083,12.0,0.0,100.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.56,67.1154561996154,12.0,69.3204207794995,11.0,,,,,,2024-04,4,2024-04-25,2024-04,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25987.png,44380.0,4794.0,True,12.0
22.0,48.7730762,9.1656207,SM-G991B,Android,0,2024-04-25 09:09:30,http://eyeonwater.org/media/eyeonwater_upload/25977.png,0.0,0,0,11.0,,,12,72.75705008709,71.4556371887499,,,,,0.0,,0.0,68.0844012436555,11.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.75705008709,11.0,71.4556371887499,11.0,794.0,fauserja,100.0,25.0,2.0,2024-04,4,2024-04-25,2024-04,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25977.png,108756.0,9086.0,True,11.0
23.0,48.772835,9.1640697,POT-LX1,Android,0,2024-03-22 12:41:35,http://eyeonwater.org/media/eyeonwater_upload/25733.png,15.0,0,0,19.0,,,18,28.8333225813825,30.3768494051955,,,,,0.0,24.2179369512176,20.0,25.6242821767238,20.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,28.8333225813825,19.0,30.3768494051955,19.0,,,,,,2024-03,3,2024-03-22,2024-03,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25733.png,135072.0,6782.0,True,19.0
26.0,48.7732304,9.1647792,POT-LX1,Android,0,2024-03-13 02:19:19,http://eyeonwater.org/media/eyeonwater_upload/25644.png,5.0,0,0,18.0,,,18,,31.1515481555665,,,,,0.0,,0.0,16.7308188352734,21.0,0.0,100.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.61,,0.0,31.1515481555665,18.0,,,,,,2024-03,3,2024-03-13,2024-03,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25644.png,116164.0,4596.0,False,
29.0,48.7725152511746,9.16464978483248,"iPhone12,1",iOS,0,2024-03-12 10:55:46,http://eyeonwater.org/media/eyeonwater_upload/25633.png,2.0,0,0,13.0,,,13,,60.5196819941077,,,,,0.0,,0.0,161.277612612113,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,60.5196819941077,13.0,,,,,,2024-03,3,2024-03-12,2024-03,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25633.png,182381.0,6182.0,False,
30.0,48.772928380344,9.16543970185125,"iPhone12,1",iOS,0,2024-03-12 10:55:27,http://eyeonwater.org/media/eyeonwater_upload/25632.png,0.0,0,0,13.0,,,12,60.3151950171113,62.7558623237664,,,,,0.0,52.8505050131424,14.0,99.8493128128953,8.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3151950171113,13.0,62.7558623237664,12.0,,,,,,2024-03,3,2024-03-12,2024-03,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25632.png,182381.0,7605.0,True,13.0
32.0,48.7725596563572,9.1646851385411,"iPhone12,1",iOS,0,2024-03-06 01:12:18,http://eyeonwater.org/media/eyeonwater_upload/25610.png,7.0,1,0,17.0,,,16,37.6154038941882,33.1405751926413,,,,,0.0,,0.0,14.5108588758747,21.0,0.0,100.0,0.0,0.0,0.0,6.75,0.0,0.0,0.0,0.57,37.6154038941882,17.0,33.1405751926413,18.0,1434.0,Mika,20.0,3.0,1.0,2024-03,3,2024-03-06,2024-03,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25610.png,182381.0,4194.0,True,17.0
40.0,48.7729068892531,9.16463169270117,"iPhone13,2",iOS,0,2024-02-28 07:47:21,http://eyeonwater.org/media/eyeonwater_upload/25605.png,9.0,0,0,16.0,,,17,41.6879059405302,42.1951409058839,,,,,0.0,28.3263980091917,19.0,29.4634281104296,19.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.6879059405302,16.0,42.1951409058839,16.0,,,,,,2024-02,2,2024-02-28,2024-02,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25605.png,159120.0,2607.0,True,16.0
42.0,48.7728175145303,9.16498594155493,"iPhone13,3",iOS,0,2024-02-28 01:46:00,http://eyeonwater.org/media/eyeonwater_upload/25589.png,0.0,0,0,14.0,,,13,56.3174809226039,58.1604369500055,,,,,0.0,,0.0,47.6307544727011,15.0,0.0,100.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.51,56.3174809226039,14.0,58.1604369500055,13.0,695.0,Netti,280.0,72.0,3.0,2024-02,2,2024-02-28,2024-02,C:\Users\janfa\reutlingen-university.de\ParKli - General\AP2_Ko_Produktion\AP2.3_Erzeugen_von_Trainingsdatensätzen\EyeOnWater\Dash_Python\urlTest\src\pages\..\assets\Bilder\25589.png,57334.0,1074.0,True,14.0
